Close,log return,,,
32284.65941,-0.006381604,,,
32316.96765,0.00100023,,,
32460.25962,0.004424154,,,
31883.8639,-0.017916512,,,
31716.70644,-0.005256489,,,
31192.605,-0.016662512,,,
30700,-0.015918393,,,
31265.52296,0.018253333,,,
31425.14746,0.005092459,,,
30892.77552,-0.017086092,,,
31088.65617,0.006320645,,,
30956.5098,-0.004259689,,,
30855.67957,-0.003262474,,,
30450.94109,-0.013203936,,,
30066.65441,-0.012700169,,,
30548.99719,0.015915129,,,
30952.14946,0.013110586,,,
31122.91536,0.00550193,,,
31120.24546,-8.57896E-05,,,
31095.70722,-0.000788808,,,
31077.92991,-0.00057186,,,
30805.56683,-0.008802503,,,
31348.1386,0.017459476,,,
31220.58903,-0.004077109,,,
31034.55182,-0.005976623,,,
31178.55466,0.004629349,,,
31335.70736,0.00502775,,,
31433.13571,0.003104356,,,
31778.40737,0.010924432,,,
31571.67146,-0.0065268,,,
31497.63928,-0.002347646,,,
31566.03837,0.002169208,,,
31248.43758,-0.01011243,,,
31331.36127,0.002650176,,,
31414.76434,0.002658431,,,
31400.97592,-0.000439012,,,
31667.53103,0.008452926,,,
31760.80541,0.002941097,,,
31830.48537,0.002191495,,,
31806.88839,-0.000741608,,,
31756.41227,-0.001588216,,,
31600,-0.004937546,,,
31829.19919,0.007226961,,,
31712.32157,-0.003678784,,,
31806.47991,0.002964741,,,
31479.4,-0.010336676,,,
31384.3949,-0.003022572,,,
31525,0.00447009,,,
31914.95429,0.012293805,,,
32285.93196,0.011556906,,,
32064.99596,-0.006866626,,,
32165.99463,0.003144861,,,
31956.57158,-0.006531984,,,
32096.99973,0.004384717,,,
32215.74602,0.00369278,,,
32504.96018,0.008937359,,,
32459.91383,-0.001386791,,,
32484.16825,0.000746933,,,
32426.98494,-0.001761895,,,
32323.67037,-0.003191154,,,
32429.27574,0.003261797,,,
32742.86443,0.009623471,,,
33137.56865,0.011982585,,,
33050,-0.002646077,,,
33312.28444,0.007904665,,,
33403.94109,0.002747659,,,
33496.10944,0.002755406,,,
33845.97346,0.010390744,,,
33702.13595,-0.004258823,,,
33717.64525,0.000460082,,,
33524.45568,-0.005746106,,,
33780.98155,0.007622776,,,
33850,0.002041031,,,
33989.45466,0.00411132,,,
33812.95377,-0.005206343,,,
33869.94426,0.001684045,,,
33805.97091,-0.00189058,,,
33711.94817,-0.002785121,,,
34042.91714,0.009769678,,,
34049.99,0.000207741,,,
34353.0096,0.008859892,,,
34181.64084,-0.005000948,,,
34049.64865,-0.003868969,,,
33833.3663,-0.00637223,,,
33896.58195,0.001866698,,,
33945.29023,0.001435936,,,
33785.29387,-0.004724502,,,
33627.98852,-0.004666903,,,
33813.31173,0.005495851,,,
33901.41131,0.002602082,,,
33835.23863,-0.001953823,,,
33730.97832,-0.003086169,,,
33665.28158,-0.001949567,,,
33796.08642,0.003877923,,,
34005.4243,0.006175041,,,
33928.46613,-0.002265679,,,
33969.2709,0.001201948,,,
33866.14906,-0.003040356,,,
33892.90724,0.000789804,,,
33742.41307,-0.004450173,,,
33757.38795,0.000443701,,,
34110.20811,0.010397402,,,
34595.67047,0.014131846,,,
35468.46495,0.024915447,,,
35213.2404,-0.007221831,,,
35268.9429,0.001580613,,,
35179.23075,-0.002546899,,,
35119,-0.001713579,,,
34659.14409,-0.013180705,,,
34958.80015,0.00860864,,,
35095.97381,0.003916188,,,
35126.91855,0.000881329,,,
34916.93658,-0.005995746,,,
35135.12531,0.006229351,,,
34993.99618,-0.004024842,,,
35030,0.001028328,,,
34826.18487,-0.005835295,,,
34663.97382,-0.004668614,,,
34680.1381,0.000466205,,,
34198.13574,-0.013996002,,,
34462.48223,0.007700128,,,
34592.24233,0.003758186,,,
34034.41757,-0.016257153,,,
33951.69772,-0.002433435,,,
34078.35108,0.003723458,,,
33912.86799,-0.004867788,,,
34301.71505,0.011400825,,,
