Date,High,Low,gold_close
2019/11/12,"1,454.90","1,447.10","1,452.10"
2019/11/13,"1,463.30","1,456.80","1,461.70"
2019/11/14,"1,471.80","1,463.70","1,471.80"
2019/11/15,"1,469.10","1,467.30","1,467.30"
2019/11/18,"1,472.00","1,469.70","1,470.90"
2019/11/19,"1,474.30","1,467.70","1,473.30"
2019/11/20,"1,474.50","1,467.30","1,473.30"
2019/11/21,"1,463.10","1,463.10","1,463.10"
2019/11/22,"1,468.60","1,463.10","1,463.10"
2019/11/25,"1,457.10","1,455.50","1,456.60"
2019/11/26,"1,459.80","1,459.80","1,459.80"
2019/11/27,"1,461.90","1,452.00","1,453.40"
2019/11/29,"1,465.60","1,452.10","1,465.60"
2019/12/2,"1,464.40","1,453.30","1,462.30"
2019/12/3,"1,480.40","1,459.50","1,478.20"
2019/12/4,"1,483.40","1,471.20","1,474.00"
2019/12/5,"1,478.00","1,472.30","1,476.90"
2019/12/6,"1,476.00","1,458.20","1,459.10"
2019/12/9,"1,464.20","1,458.60","1,459.30"
2019/12/10,"1,467.20","1,460.70","1,462.60"
2019/12/11,"1,475.40","1,463.10","1,469.40"
2019/12/12,"1,483.90","1,463.70","1,466.70"
2019/12/13,"1,475.90","1,463.10","1,475.60"
2019/12/16,"1,475.30","1,473.80","1,475.00"
2019/12/17,"1,476.90","1,474.00","1,474.60"
2019/12/18,"1,472.60","1,472.60","1,472.60"
2019/12/19,"1,478.90","1,473.30","1,478.20"
2019/12/20,"1,478.10","1,474.70","1,474.70"
2019/12/23,"1,482.50","1,479.90","1,482.50"
2019/12/24,"1,499.10","1,488.70","1,499.10"
2019/12/26,"1,512.30","1,505.00","1,509.30"
2019/12/27,"1,513.80","1,513.80","1,513.80"
2019/12/30,"1,515.10","1,510.00","1,514.50"
2019/12/31,"1,523.40","1,513.80","1,519.50"
2020/1/2,"1,528.70","1,518.00","1,524.50"
2020/1/3,"1,552.70","1,530.10","1,549.20"
2020/1/6,"1,580.00","1,560.40","1,566.20"
2020/1/7,"1,576.30","1,558.30","1,571.80"
2020/1/8,"1,604.20","1,552.30","1,557.40"
2020/1/9,"1,555.70","1,543.30","1,551.70"
2020/1/10,"1,558.80","1,545.40","1,557.50"
2020/1/13,"1,558.00","1,548.40","1,548.40"
2020/1/14,"1,546.70","1,534.90","1,542.40"
2020/1/15,"1,553.90","1,545.60","1,552.10"
2020/1/16,"1,556.10","1,548.50","1,549.00"
2020/1/17,"1,558.80","1,553.60","1,558.80"
